date,account_value,unrealized_pnl,total_value,open_positions,trades_entered_today,returns,cummax,drawdown
2025-06-20 12:00:00,147379.928802173,-28.39092242406287,147351.53787974894,4,1,-0.0001588846103138808,152572.08060577436,-0.03421689410865805
2025-06-23 12:00:00,147378.628802173,62.67569244047024,147441.3044946135,5,1,0.0006092003935365131,152572.08060577436,-0.033628538660478144
2025-06-24 12:00:00,147525.70987948214,22.98647046165634,147548.69634994378,2,1,0.0007283702195826081,152572.08060577436,-0.03292466246698387
2025-06-25 12:00:00,147524.40987948215,32.17345857341858,147556.58333805556,3,1,5.345345846419214e-05,152572.08060577436,-0.03287296894559741
2025-06-26 12:00:00,147559.89622933508,37.50889776763766,147597.4051271027,3,1,0.00027665176384328305,152572.08060577436,-0.03260541154659572
2025-06-27 12:00:00,147587.48426217123,43.29909767064506,147630.78335984188,3,1,0.00022614376391261182,152572.08060577436,-0.03238664129317424
2025-06-30 12:00:00,147626.12008487724,38.48456749806313,147664.6046523753,3,1,0.000229093768682187,152572.08060577436,-0.03216496710220078
2025-07-01 12:00:00,147624.82008487725,39.324591222831806,147664.14467610008,4,1,-3.1150069869090302e-06,152572.08060577436,-0.03216798191509048
2025-07-02 12:00:00,147662.55339816847,43.05308080462622,147705.6064789731,4,1,0.0002807844989314301,152572.08060577436,-0.0318962296868428
2025-07-03 12:00:00,147698.56382675725,63.54713519719061,147762.11096195443,4,1,0.0003825479907519913,152572.08060577436,-0.031525883534670035
2025-07-07 12:00:00,147697.26382675726,7.7851476088540466,147705.0489743661,5,1,-0.000386174691311858,152572.08060577436,-0.031899883727639605
2025-07-08 12:00:00,147695.96382675727,39.546170634613674,147735.5099973919,6,1,0.0002062287189050771,152572.08060577436,-0.03170023368088889
2025-07-09 12:00:00,147764.09850240106,76.66970012819598,147840.76820252926,5,1,0.000712477353205232,152572.08060577436,-0.03101034202627264
2025-07-10 12:00:00,147817.83932533156,58.59614730685419,147876.4354726384,4,1,0.0002412546318772968,152572.08060577436,-0.03077656878304537
2025-07-11 12:00:00,147816.53932533157,22.178094339116598,147838.7174196707,5,1,-0.0002550646615679941,152572.08060577436,-0.031023783429512515
2025-07-14 12:00:00,147815.23932533158,51.893834310876045,147867.13315964246,6,1,0.00019220770084937833,152572.08060577436,-0.030837538738747703
