date,account_value,unrealized_pnl,total_value,open_positions,trades_entered_today,returns,cummax,drawdown
2019-11-22 12:00:00,152155.42767210957,24.120694325479874,152179.54836643505,1,0,0.0001585266769283944,152179.54836643505,0.0
2019-11-25 12:00:00,152221.25142781952,0.0,152221.25142781952,1,1,0.00027403854086927026,152221.25142781952,0.0
2019-11-26 12:00:00,152219.95142781953,18.899607632208728,152238.85103545175,2,1,0.00011561859771314076,152238.85103545175,0.0
2019-11-27 12:00:00,152218.65142781954,64.2873715035797,152282.9387993231,3,1,0.00028959601029243665,152282.9387993231,0.0
2019-11-29 12:00:00,152217.35142781955,-12.16096587101525,152205.19046194854,4,1,-0.0005105518581896007,152282.9387993231,-0.0005105518581895738
2019-12-02 12:00:00,152216.05142781956,-311.0976908771647,151904.9537369424,5,1,-0.00197257875434409,152282.9387993231,-0.002482123508785213
2019-12-03 12:00:00,152214.75142781957,-572.3217898801796,151642.4296379394,6,1,-0.0017282128893414406,152282.9387993231,-0.0042060467602858375
2019-12-04 12:00:00,152213.4514278196,-245.50247525890896,151967.94895256066,7,1,0.002146624235700223,152282.9387993231,-0.0020684513264978078
2019-12-05 12:00:00,151996.69403733005,94.66719667937689,152091.3612340094,3,0,0.000812094144188702,152282.9387993231,-0.001258036959518848
2019-12-06 12:00:00,152116.76678679252,115.03472368499776,152231.80151047753,3,1,0.0009233941712969429,152282.9387993231,-0.00033580445221751966
2019-12-09 12:00:00,152115.46678679253,16.438427251385335,152131.90521404392,4,1,-0.0006562117471016204,152282.9387993231,-0.0009917958404928142
2019-12-10 12:00:00,152115.46678679253,17.259663326285036,152132.72645011882,4,0,5.398184383054172e-06,152282.9387993231,-0.0009864030100065026
2019-12-11 12:00:00,152114.16678679254,115.71532120485828,152229.8821079974,5,1,0.0006386243127669555,152282.9387993231,-0.00034840863818384646
2019-12-12 12:00:00,152319.8237711027,160.53283318745798,152480.35660429017,2,0,0.001645370099643495,152480.35660429017,0.0
2019-12-13 12:00:00,152443.62486504615,95.74773854019902,152539.37260358635,1,0,0.0003870400136152252,152539.37260358635,0.0
2019-12-16 12:00:00,152584.94129960274,0.0,152584.94129960274,1,1,0.0002987339939755085,152584.94129960274,0.0
2019-12-17 12:00:00,152583.64129960275,0.13443880428738453,152583.77573840704,2,1,-7.638769499607179e-06,152584.94129960274,-7.63876949958762e-06
2019-12-18 12:00:00,152582.34129960276,-1.2252297341195373,152581.11606986864,3,1,-1.743087379724173e-05,152584.94129960274,-2.5069510146379076e-05
2019-12-19 12:00:00,152581.04129960277,80.90094736252595,152661.9422469653,4,1,0.000529725952847615,152661.9422469653,0.0
2019-12-20 12:00:00,152581.04129960277,179.84226163649615,152760.88356123926,4,0,0.0006481072677162469,152760.88356123926,0.0
2019-12-23 12:00:00,152581.04129960277,253.8599535654032,152834.90125316818,4,0,0.0004845330178995244,152834.90125316818,0.0
2019-12-24 12:00:00,152806.91023595424,47.62266299629674,152854.53289895054,1,0,0.00012845001777339604,152854.53289895054,0.0
2019-12-26 12:00:00,152878.25524678844,0.0,152878.25524678844,1,1,0.00015519557966658937,152878.25524678844,0.0
2019-12-27 12:00:00,152876.95524678845,-10.027052519878055,152866.92819426858,2,1,-7.409197927843447e-05,152878.25524678844,-7.409197927838331e-05
2019-12-30 12:00:00,152875.65524678846,-100.87571662700192,152774.77953016147,3,1,-0.0006028031386227095,152878.25524678844,-0.0006768504550233859
2019-12-31 12:00:00,152875.65524678846,-19.764282341466455,152855.890964447,3,0,0.0005309216255129368,152878.25524678844,-0.00014628818405429148
2020-01-02 12:00:00,153082.89931963471,0.0,153082.89931963471,1,1,0.0014851135520874692,153082.89931963471,0.0
2020-01-03 12:00:00,153081.59931963473,-62.15886588132733,153019.4404537534,2,1,-0.00041453922131962084,153082.89931963471,-0.0004145392213196479
2020-01-06 12:00:00,153080.29931963474,18.5023386016983,153098.80165823645,3,1,0.000518634784232086,153098.80165823645,0.0
2020-01-07 12:00:00,153078.99931963475,-23.30906290637742,153055.69025672838,4,1,-0.0002815920245039516,153098.80165823645,-0.0002815920245039239
2020-01-08 12:00:00,153077.69931963476,152.77639768875397,153230.4757173235,5,1,0.0011419729661925615,153230.4757173235,0.0
2020-01-09 12:00:00,153267.49040879044,239.34956764452693,153506.83997643497,3,0,0.0018035854670404028,153506.83997643497,0.0
2020-01-10 12:00:00,153267.49040879044,212.23578819053364,153479.72619698098,3,0,-0.00017662912908744666,153506.83997643497,-0.00017662912908740443
2020-01-13 12:00:00,153628.8658335121,0.0,153628.8658335121,1,1,0.0009717220653606695,153628.8658335121,0.0
2020-01-14 12:00:00,153628.8658335121,-10.050999423798501,153618.8148340883,1,0,-6.542389914343527e-05,153628.8658335121,-6.542389914341622e-05
2020-01-15 12:00:00,153627.5658335121,8.078357088741583,153635.64419060084,2,1,0.00010955270375401227,153635.64419060084,0.0
2020-01-16 12:00:00,153626.26583351212,109.51162763511988,153735.77746114726,3,1,0.0006517580674325618,153735.77746114726,0.0
2020-01-17 12:00:00,153626.26583351212,176.70755414395978,153802.9733876561,3,0,0.0004370871089249828,153802.9733876561,0.0
2020-01-21 12:00:00,153624.96583351213,157.5881911904186,153782.55402470255,4,1,-0.00013276312221921494,153802.9733876561,-0.00013276312221921393
2020-01-22 12:00:00,153623.66583351215,178.3489783652764,153802.01481187742,5,1,0.00012654743119777656,153802.9733876561,-6.2324918534172095e-06
2020-01-23 12:00:00,153818.4941934737,15.082397926214552,153833.57659139993,2,0,0.0002052104425362966,153833.57659139993,0.0
2020-01-24 12:00:00,153817.19419347373,-114.26382480014578,153702.93036867358,3,1,-0.0008492698773646667,153833.57659139993,-0.0008492698773647208
2020-01-27 12:00:00,153815.89419347374,-552.2799256755532,153263.6142677982,4,1,-0.0028582155188690006,153833.57659139993,-0.003705057999890511
2020-01-28 12:00:00,153814.59419347375,-210.2029370224817,153604.39125645126,5,1,0.002223469610064255,153833.57659139993,-0.0014898264736925445
2020-01-29 12:00:00,153813.29419347376,-228.84574385866154,153584.4484496151,6,1,-0.0001298322702432131,153833.57659139993,-0.0016194653163824591
2020-01-30 12:00:00,153721.30265305782,55.81439800762702,153777.11705106543,3,1,0.001254479886442006,153833.57659139993,-0.0003670170166066167
2020-01-31 12:00:00,153720.00265305783,-363.57639611503004,153356.4262569428,4,1,-0.0027357177855202863,153833.57659139993,-0.003101730747147007
2020-02-03 12:00:00,153718.70265305784,-112.86614662310367,153605.83650643475,5,1,0.001626343646493611,153833.57659139993,-0.0014804315807471207
2020-02-04 12:00:00,153866.16409433295,219.48230131569522,154085.64639564866,5,1,0.0031236436070827267,154085.64639564866,0.0
2020-02-05 12:00:00,154289.1976556375,82.57068726156218,154371.76834289904,2,1,0.0018569020148424542,154371.76834289904,0.0
2020-02-06 12:00:00,154287.8976556375,123.82867336612645,154411.72632900364,3,1,0.00025884257551433976,154411.72632900364,0.0
2020-02-07 12:00:00,154286.5976556375,23.41099691042625,154310.00865254793,4,1,-0.0006587432112440395,154411.72632900364,-0.0006587432112440675
2020-02-10 12:00:00,154420.36371848764,118.41484678310857,154538.77856527074,4,1,0.0014825345077773555,154538.77856527074,0.0
2020-02-11 12:00:00,154419.06371848765,162.0795798379994,154581.14329832565,5,1,0.0002741365853167199,154581.14329832565,0.0
2020-02-12 12:00:00,154721.434820117,143.46002151608346,154864.89484163307,3,1,0.001835615504278021,154864.89484163307,0.0
2020-02-13 12:00:00,154720.134820117,119.40000057443108,154839.53482069145,4,1,-0.00016375577542959707,154864.89484163307,-0.00016375577542961968
2020-02-14 12:00:00,154720.134820117,200.15810436740546,154920.2929244844,4,0,0.000521559974243635,154920.2929244844,0.0
2020-02-18 12:00:00,154718.83482011702,150.72462312367634,154869.5594432407,5,1,-0.00032748118587955233,154920.2929244844,-0.00032748118587955645
2020-02-19 12:00:00,154951.54055620928,109.00689235822152,155060.5474485675,3,0,0.001233218496994537,155060.5474485675,0.0
2020-02-20 12:00:00,154956.43993507526,0.235395718860687,154956.67533079413,2,1,-0.0006698810205595374,155060.5474485675,-0.0006698810205595427
2020-02-21 12:00:00,154955.13993507528,-171.59384407606356,154783.5460909992,3,1,-0.001117275131421902,155060.5474485675,-0.0017864077105761659
2020-02-24 12:00:00,154953.8399350753,-984.2579701662546,153969.58196490904,4,1,-0.005258725146480514,155060.5474485675,-0.007035738629907249
2020-02-25 12:00:00,154952.5399350753,-1878.6302999074082,153073.9096351679,5,1,-0.005817203101488477,155060.5474485675,-0.012812013410816558
2020-02-26 12:00:00,154951.2399350753,-2115.191946594683,152836.04798848063,6,1,-0.0015539006435137948,155060.5474485675,-0.014346005458446597
2020-02-27 12:00:00,152191.38262837494,-1410.2556777036043,150781.12695067134,3,0,-0.013445264156294878,155060.5474485675,-0.027598383781765014
2020-02-28 12:00:00,152191.38262837494,-1553.38273260293,150637.999895772,3,0,-0.000949237200927544,155060.5474485675,-0.028521423570121388
2020-03-02 12:00:00,152191.38262837494,-440.04934209994246,151751.33328627498,3,0,0.00739078712724095,155060.5474485675,-0.02134143221305313
2020-03-03 12:00:00,152191.38262837494,-1286.4503650186214,150904.9322633563,3,0,-0.005577552464214319,155060.5474485675,-0.02679995171943765
2020-03-04 12:00:00,152237.30982130382,-292.4813300876005,151944.8284912162,2,0,0.006891068517529186,155060.5474485675,-0.020093563505473564
2020-03-05 12:00:00,151394.29037171413,0.0,151394.29037171413,0,0,-0.0036232764548080887,155060.5474485675,-0.023644035424739064
2020-03-06 12:00:00,151394.29037171413,0.0,151394.29037171413,0,0,0.0,155060.5474485675,-0.023644035424739064
