dte,short_delta,strike_width,profit_target,stop_loss,dte_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
24,0.35,10,0.9,0.3,7,150000,202478.3015255348,52478.30152553477,34.98553435035651,5.165592312311462,0.6033689593113257,0.6828542747364468,-10.106769856602693,0.5111022003668969,5.269482689933189,1223,852,371,69.664758789861,174.80689464527762,-257.5310575663449,262.9203153932366,-630.668494463647,1.5588151991456032,14.762060506950125,44,71,61.97183098591549,2.964548286661417,-3.3485550161304167,0.4381144540259183,,0.5691120607810489,80
21,0.31,10,0.8,0.3,5,150000,200533.53151585357,50533.53151585354,33.68902101056903,4.995327252459569,0.59773394290111,0.6455711336071986,-11.332104641628954,0.4408119595109481,5.026962998134461,1235,951,284,77.00404858299595,145.45726731877656,-304.1309721851297,216.20807831398048,-639.0570860882567,1.6015369057210644,13.064777327935223,48,71,67.6056338028169,3.1181330693089704,-3.554608017244365,0.4226249317728845,,0.549276534032543,44
21,0.3299999999999999,15,0.9,0.3,9,150000,205039.38836368,55039.38836368002,36.69292557578668,5.387752067255414,0.594042813416317,0.6553278521903617,-9.331735794474106,0.577357973470041,5.752790649262889,1214,889,325,73.22899505766063,177.65032896096034,-313.6971049332552,298.4834569744575,-859.2304897080902,1.549080208633803,12.72487644151565,47,71,66.19718309859155,3.145800459925563,-3.708161911334873,0.4559759429285253,,0.5392382869150192,18
21,0.31,15,0.9,0.4,5,150000,215663.0644085758,65663.0644085758,43.775376272383866,6.285335864501951,0.5926568428721232,0.6201010088342034,-17.449618139917675,0.360199049291723,7.379411576120558,1234,976,258,79.09238249594813,193.2526630314834,-472.0152800948092,297.420139412716,-1167.1393835116612,1.5488149822663486,15.205024311183143,48,71,67.6056338028169,4.514789505384353,-6.413183921723653,0.5389034326818933,,0.6142241217586901,32
24,0.35,10,0.9,0.4,5,150000,206652.48863194635,56652.488631946326,37.76832575463088,5.526496956531357,0.5920462505951287,0.6586078474692689,-14.553471502250954,0.3797373675192607,6.021280819526496,1223,923,300,75.47015535568275,178.33280585957192,-356.7851360710354,263.7311118030832,-710.4354315722701,1.5378179859265309,16.376124284546197,48,71,67.6056338028169,3.4527352407145218,-4.287567081561905,0.4710624916197074,,0.5903206381639,62
27,0.35,20,0.8,0.30000000000000004,5,150000,232260.95111861694,82260.95111861694,54.840634079077965,7.616637213253741,0.5896944630374495,0.563573464659352,-18.85338984304517,0.40399298357814645,9.903868223734188,1368,1032,336,75.43859649122807,269.1948064778711,-576.6955034719597,377.1078527892531,-1842.0024905416474,1.4337074156440341,20.111842105263158,45,71,63.38028169014085,6.801691496516504,-8.207939789096885,0.6736424377180718,,0.48908606981525404,41
27,0.35,10,0.9,0.3,9,150000,202331.5750063612,52331.57500636118,34.88771667090745,5.152793943450407,0.5894870395386298,0.683823116394672,-10.309773418856832,0.499797011447974,5.383206189170993,1256,896,360,71.3375796178344,163.06864082619808,-258.35875397964094,250.2208860879173,-555.2906641272249,1.5709153339178892,17.03343949044586,46,71,64.7887323943662,2.8573937755376866,-3.589434861813978,0.4386963665702031,,0.5118438898042501,17
24,0.35,15,0.9,0.4,5,150000,220085.06137353883,70085.06137353883,46.72337424902589,6.648130765274818,0.588219030282848,0.6390320349712556,-18.57424982931497,0.3579218986697567,8.11141509287177,1223,943,280,77.10547833197057,227.41819985296655,-513.0322004610442,347.9393021776071,-1167.1393835116612,1.492912156590226,16.346688470973017,47,71,66.19718309859155,4.806983633549811,-5.641533582872516,0.5736000777726803,,0.6056461730304736,60
27,0.3299999999999999,10,0.9,0.3,7,150000,204801.53908982693,54801.539089826925,36.534359393217954,5.367217562919491,0.5873218841899035,0.6606984211281632,-11.735558460361112,0.4573465831258223,5.788890906787633,1280,919,361,71.796875,164.57653073260462,-264.3010434698552,239.4735916756243,-555.2906641272249,1.585175439847668,17.79296875,45,71,63.38028169014085,3.085810409481504,-3.5384463578983727,0.4578300052873513,,0.5594180199888611,83
24,0.3299999999999999,15,0.8,0.3,5,150000,213455.40238507028,63455.40238507028,42.30360159004685,6.10189024427763,0.5870168455078693,0.6318096785806319,-15.199556079396876,0.4014518721733454,7.123865945687796,1232,952,280,77.27272727272727,200.63387151059737,-451.3852911072343,309.0388851906143,-859.2304897080902,1.511248099074574,13.866883116883116,45,71,63.38028169014085,4.707864666241557,-4.675573720323644,0.5229709305504308,,0.5705725401072276,95
